linked_slug,link_text,relative_url,linked_from_slug,linked_from_topic,order_index
Sunset_(disambiguation),Sunset (disambiguation),/wiki/Sunset_(disambiguation),Sunset,Sunset,0
Dusk,Dusk,/wiki/Dusk,Sunset,Sunset,1
Mojave_Desert,Mojave Desert,/wiki/Mojave_Desert,Sunset,Sunset,2
Sunshower,sunshower,/wiki/Sunshower,Sunset,Sunset,3
"Johnson_Valley,_California","Johnson Valley, California","/wiki/Johnson_Valley,_California",Sunset,Sunset,4
Sun,Sun,/wiki/Sun,Atmosphere_of_Earth,Atmosphere of Earth,145
Horizon,horizon,/wiki/Horizon,Atmosphere_of_Earth,Atmosphere of Earth,177
Earth%27s_rotation,Earth's rotation,/wiki/Earth%27s_rotation,Sunset,Sunset,7
Equator,Equator,/wiki/Equator,Atmosphere_of_Earth,Atmosphere of Earth,102
Equinox,equinox,/wiki/Equinox,Sunset,Sunset,9
Middle_latitudes,middle latitudes,/wiki/Middle_latitudes,Sunset,Sunset,10
Summer,Summer,/wiki/Summer,Air_quality,Air pollution,30
Northern_Hemisphere,Northern Hemisphere,/wiki/Northern_Hemisphere,Sunset,Sunset,12
Southern_Hemisphere,Southern Hemisphere,/wiki/Southern_Hemisphere,Sunset,Sunset,13
Astronomy,Astronomy,/wiki/Astronomy,Outline_of_academic_disciplines,Outline of academic disciplines,882
Atmospheric_refraction,atmospheric refraction,/wiki/Atmospheric_refraction,Atmosphere_of_Earth,Atmosphere of Earth,174
Sunlight,sunlight,/wiki/Sunlight,Air_quality,Air pollution,513
Twilight,twilight,/wiki/Twilight,Sunset,Sunset,17
Night,night,/wiki/Night,Atmosphere_of_Earth,Atmosphere of Earth,17
Arctic_Circle,Arctic Circle,/wiki/Arctic_Circle,Sunset,Sunset,19
Antarctic_Circle,Antarctic Circle,/wiki/Antarctic_Circle,Sunset,Sunset,20
Polar_day,polar day,/wiki/Polar_day,Sunset,Sunset,21
Polar_night,polar night,/wiki/Polar_night,Sunset,Sunset,22
Analemma,Analemma,/wiki/Analemma,Sunset,Sunset,23
Paris,Paris,/wiki/Paris,Sunset,Sunset,24
Tour_Montparnasse,Tour Montparnasse,/wiki/Tour_Montparnasse,Sunset,Sunset,25
Aphelion,aphelion,/wiki/Aphelion,Sunset,Sunset,26
Perihelion,perihelion,/wiki/Perihelion,Sunset,Sunset,27
March_equinox,March equinox,/wiki/March_equinox,Sunset,Sunset,28
September_equinox,September equinox,/wiki/September_equinox,Sunset,Sunset,29
Azimuth,azimuths,/wiki/Azimuth,Sunset,Sunset,30
Moon_illusion,moon illusion,/wiki/Moon_illusion,Sunset,Sunset,31
"Joshua_Tree,_California","Joshua Tree, California","/wiki/Joshua_Tree,_California",Sunset,Sunset,32
Atmospheric_particulate_matter,particulate matter,/wiki/Atmospheric_particulate_matter,Atmosphere_of_Earth,Atmosphere of Earth,218
Sunrise,sunrise,/wiki/Sunrise,Sunset,Sunset,34
Hue,hues,/wiki/Hue,Sunset,Sunset,35
Rayleigh_scattering,Blue light is scattered,/wiki/Rayleigh_scattering,Atmosphere_of_Earth,Atmosphere of Earth,4
Mie_theory,Mie scattering,/wiki/Mie_theory,Sunset,Sunset,37
Tokyo,Tokyo,/wiki/Tokyo,Sunset,Sunset,38
Green_flash,green flash,/wiki/Green_flash,Sunset,Sunset,39
Troposphere,troposphere,/wiki/Troposphere,Atmosphere_of_Earth,Atmosphere of Earth,28
Stratosphere,stratosphere,/wiki/Stratosphere,Air_quality,Air pollution,161
Afterglow,afterglows,/wiki/Afterglow,Sunset,Sunset,42
1991_eruption_of_Mount_Pinatubo,Mount Pinatubo in 1991,/wiki/1991_eruption_of_Mount_Pinatubo,Sunset,Sunset,43
1883_eruption_of_Krakatoa,Krakatoa in 1883,/wiki/1883_eruption_of_Krakatoa,Sunset,Sunset,44
Cloud,Cloud,/wiki/Cloud,Air_quality,Air pollution,37
Points_of_the_compass,points of the compass,/wiki/Points_of_the_compass,Sunset,Sunset,46
Orient,orient,/wiki/Orient,Sunset,Sunset,47
Western_world,occident,/wiki/Western_world,Sunset,Sunset,48
Polish_language,Polish,/wiki/Polish_language,Sunset,Sunset,49
East,east,/wiki/East,Sunset,Sunset,50
Morpheme,morpheme,/wiki/Morpheme,Sunset,Sunset,51
West,west,/wiki/West,Sunset,Sunset,52
Russian_language,Russian,/wiki/Russian_language,Sunset,Sunset,53
Astronomer,astronomer,/wiki/Astronomer,Sunset,Sunset,54
Nicolaus_Copernicus,Nicolaus Copernicus,/wiki/Nicolaus_Copernicus,Sunset,Sunset,55
Mars,Mars,/wiki/Mars,Atmosphere,Atmosphere,60
Earth,Earth,/wiki/Earth,Atmosphere_of_Earth,Atmosphere of Earth,3
Atmosphere,atmosphere,/wiki/Atmosphere,Environmental_science,Environmental science,51
Oxygen,oxygen,/wiki/Oxygen,Atmospheric_science,Atmospheric science,173
Nitrogen,nitrogen,/wiki/Nitrogen,Atmosphere_of_Earth,Atmosphere of Earth,19
Martian_soil,red dust,/wiki/Martian_soil,Sunset,Sunset,61
Hikkaduwa,Hikkaduwa,/wiki/Hikkaduwa,Sunset,Sunset,62
Sri_Lanka,Sri Lanka,/wiki/Sri_Lanka,Sunset,Sunset,63
"Woodlands,_Singapore","Woodlands, Singapore","/wiki/Woodlands,_Singapore",Sunset,Sunset,64
Fiji,Fiji,/wiki/Fiji,Sunset,Sunset,65
Gulf_of_Paria,Gulf of Paria,/wiki/Gulf_of_Paria,Sunset,Sunset,66
